Epoch,Train_Loss,Val_Loss,Val_Accuracy
1,1.112376,1.048549,0.414815
2,1.076732,1.042458,0.437037
3,1.066081,1.012782,0.512963
4,1.015070,0.949059,0.538889
5,0.964632,0.846067,0.605556
6,0.925404,0.837380,0.603704
7,0.909723,0.854651,0.605556
8,0.931039,0.857453,0.612963
9,0.885018,0.803822,0.651852
10,0.867307,0.783010,0.666667
11,0.832522,0.796517,0.650000
12,0.841299,0.775618,0.657407
13,0.793751,0.758016,0.670370
14,0.779540,0.753994,0.672222
15,0.789354,0.736706,0.661111
16,0.754284,0.708866,0.705556
17,0.732665,0.833543,0.611111
18,0.773154,0.662833,0.712963
19,0.671247,0.522511,0.812963
20,0.673871,0.528021,0.803704
21,0.630935,0.511839,0.803704
22,0.663762,0.513374,0.798148
23,0.580150,0.385983,0.844444
24,0.565110,0.413450,0.850000
25,0.561575,0.380920,0.862963
26,0.561414,0.383090,0.862963
27,0.556616,0.341533,0.885185
28,0.515129,0.377689,0.848148
29,0.475988,0.403387,0.844444
30,0.511404,0.318421,0.883333
31,0.466338,0.307260,0.890741
32,0.420468,0.278068,0.890741
33,0.424870,0.262677,0.896296
34,0.425772,0.359060,0.864815
35,0.381558,0.200978,0.927778
36,0.370874,0.230224,0.922222
37,0.371770,0.196152,0.937037
38,0.344190,0.172640,0.944444
39,0.380330,0.233985,0.912963
40,0.368239,0.196960,0.920370
41,0.340876,0.219898,0.925926
42,0.357208,0.172756,0.935185
43,0.330923,0.150409,0.951852
44,0.325407,0.158910,0.937037
45,0.324135,0.119401,0.962963
46,0.336914,0.160008,0.957407
47,0.329209,0.217178,0.916667
48,0.304670,0.165193,0.937037
49,0.286189,0.118672,0.972222
50,0.294587,0.158986,0.940741
51,0.292599,0.087306,0.970370
52,0.269458,0.107323,0.964815
53,0.287297,0.144252,0.948148
54,0.279506,0.141779,0.946296
55,0.276339,0.091054,0.964815
56,0.250954,0.098282,0.959259
57,0.271032,0.083012,0.977778
58,0.280229,0.158628,0.950000
59,0.258447,0.108631,0.968519
60,0.248766,0.101187,0.961111
61,0.205559,0.094348,0.966667
62,0.261983,0.157420,0.942593
63,0.243005,0.084034,0.975926
64,0.260786,0.095828,0.964815
65,0.221375,0.107111,0.966667
66,0.223807,0.104112,0.975926
67,0.240392,0.091578,0.977778
68,0.203637,0.107323,0.968519
69,0.220843,0.101518,0.972222
70,0.200383,0.100378,0.970370
71,0.226952,0.090491,0.970370
72,0.226686,0.113878,0.964815
73,0.227882,0.091387,0.962963
74,0.214935,0.108967,0.959259
75,0.208337,0.074762,0.966667
76,0.217133,0.093901,0.972222
77,0.195311,0.088965,0.972222
78,0.216258,0.057653,0.974074
79,0.193346,0.066566,0.977778
80,0.201374,0.136543,0.955556
81,0.188108,0.067111,0.972222
82,0.184178,0.068308,0.972222
